DATE	TIME	BOROUGH	ZIP CODE	LATITUDE	LONGITUDE	LOCATION	ON STREET NAME	CROSS STREET NAME	OFF STREET NAME	NUMBER OF PERSONS INJURED	NUMBER OF PERSONS KILLED	NUMBER OF PEDESTRIANS INJURED	NUMBER OF PEDESTRIANS KILLED	NUMBER OF CYCLIST INJURED	NUMBER OF CYCLIST KILLED	NUMBER OF MOTORIST INJURED	NUMBER OF MOTORIST KILLED	CONTRIBUTING FACTOR VEHICLE 1	CONTRIBUTING FACTOR VEHICLE 2	CONTRIBUTING FACTOR VEHICLE 3	CONTRIBUTING FACTOR VEHICLE 4	CONTRIBUTING FACTOR VEHICLE 5	UNIQUE KEY	VEHICLE TYPE CODE 1	VEHICLE TYPE CODE 2	VEHICLE TYPE CODE 3	VEHICLE TYPE CODE 4	VEHICLE TYPE CODE 5
03/12/2017	0:00	BRONX	10461	40.838535	-73.84459	(40.838535, -73.84459)	SAINT PETERS AVENUE             	WESTCHESTER AVENUE		0	0	0	0	0	0	0	0	Turning Improperly	Unspecified				3633963	PASSENGER VEHICLE	SPORT UTILITY / STATION WAGON			
03/12/2017	0:00	BROOKLYN	11236	40.633286	-73.91674	(40.633286, -73.91674)			6565      FLATLANDS AVENUE              	0	0	0	0	0	0	0	0	Following Too Closely	Driver Inattention/Distraction				3630633	SPORT UTILITY / STATION WAGON	PASSENGER VEHICLE			
03/12/2017	0:00	QUEENS	11354	40.762978	-73.83198	(40.762978, -73.83198)	NORTHERN BOULEVARD              	MAIN STREET		0	0	0	0	0	0	0	0	Following Too Closely	Unspecified				3630158	PASSENGER VEHICLE	PASSENGER VEHICLE			
03/12/2017	0:00	QUEENS	11422	40.661564	-73.73841	(40.661564, -73.73841)	243 STREET                      	WELLER AVENUE		0	0	0	0	0	0	0	0	Unspecified	Unspecified				3629849	PASSENGER VEHICLE	PASSENGER VEHICLE			
03/12/2017	0:00			40.89675	-73.85988	(40.89675, -73.85988)	EAST 236 STREET                 			0	0	0	0	0	0	0	0	Passing or Lane Usage Improper	Driver Inattention/Distraction				3630671	PASSENGER VEHICLE	PASSENGER VEHICLE			
03/12/2017	0:00			40.84603	-73.93034	(40.84603, -73.93034)				0	0	0	0	0	0	0	0	Following Too Closely	Unspecified				3631181	SPORT UTILITY / STATION WAGON	PICK-UP TRUCK			
03/12/2017	0:00	BROOKLYN	11207	40.673378	-73.88585	(40.673378, -73.88585)	PITKIN AVENUE                   	WARWICK STREET		1	0	0	0	0	0	1	0	Traffic Control Disregarded	Unspecified				3629851	PASSENGER VEHICLE	PASSENGER VEHICLE			
03/12/2017	0:00	BROOKLYN	11215	40.675434	-73.97797	(40.675434, -73.97797)	UNION STREET                    	6 AVENUE		1	0	0	0	0	0	1	0	Following Too Closely	Unspecified				3631075	PASSENGER VEHICLE	PASSENGER VEHICLE			
03/12/2017	0:00	QUEENS	11374				Woodhaven blvd                  	Metropolitan avenue		2	0	0	0	0	0	2	0	Driver Inattention/Distraction	Unspecified				3630964	SPORT UTILITY / STATION WAGON	SPORT UTILITY / STATION WAGON			
03/12/2017	0:05	QUEENS	11428	40.7171	-73.74077	(40.7171, -73.74077)	JAMAICA AVENUE                  	215 STREET		0	0	0	0	0	0	0	0	Unspecified					3629843	PASSENGER VEHICLE				
03/12/2017	0:10			40.737785	-73.93496	(40.737785, -73.93496)	VANDAM STREET                   	BORDEN AVENUE		0	0	0	0	0	0	0	0	Driver Inattention/Distraction	Unspecified				3630294	SPORT UTILITY / STATION WAGON	PASSENGER VEHICLE			
03/12/2017	0:13	MANHATTAN	10036	40.760456	-73.98568	(40.760456, -73.98568)			236       WEST 48 STREET                	0	0	0	0	0	0	0	0						3630460	PICK-UP TRUCK	PASSENGER VEHICLE			
03/12/2017	0:15	QUEENS	11106	40.760475	-73.9222	(40.760475, -73.9222)	35 STREET                       	BROADWAY		0	0	0	0	0	0	0	0	Alcohol Involvement	Unspecified				3630929	PASSENGER VEHICLE	PICK-UP TRUCK			
03/12/2017	0:15			40.6905	-73.919914	(40.6905, -73.919914)	BUSHWICK AVENUE                 			0	0	0	0	0	0	0	0	Driver Inexperience	Unspecified				3630534	PASSENGER VEHICLE	PASSENGER VEHICLE			
03/12/2017	0:16	MANHATTAN	10011	40.742283	-74.004425	(40.742283, -74.004425)	WEST 16 STREET                  	9 AVENUE		0	0	0	0	0	0	0	0	Following Too Closely	Unspecified				3630880	TAXI	TAXI			
03/12/2017	0:17	BRONX	10458	40.865925	-73.88594	(40.865925, -73.88594)	EAST 198 STREET                 	WEBSTER AVENUE		0	0	0	0	0	0	0	0	Driver Inattention/Distraction	Driver Inattention/Distraction				3631740	PASSENGER VEHICLE	PASSENGER VEHICLE			
03/12/2017	0:18						RICHMAN PLAZA                   	MATTHEWSON ROAD		0	0	0	0	0	0	0	0	Traffic Control Disregarded	Unspecified				3631946	SPORT UTILITY / STATION WAGON				
03/12/2017	0:20	MANHATTAN	10009	40.72553	-73.97673	(40.72553, -73.97673)			416       EAST 10 STREET                	0	0	0	0	0	0	0	0	Driver Inattention/Distraction	Unspecified				3631172	SPORT UTILITY / STATION WAGON	PASSENGER VEHICLE			
03/12/2017	0:25			40.661125	-73.8947	(40.661125, -73.8947)	NEW LOTS AVENUE                 	GEORGIA AVENUE		1	0	0	0	0	0	1	0	Outside Car Distraction					3630910	PASSENGER VEHICLE				
03/12/2017	0:30	QUEENS	11374	40.711815	-73.85953	(40.711815, -73.85953)			90-13     METROPOLITAN AVENUE           	1	0	0	0	0	0	1	0	Unspecified					3630122	PASSENGER VEHICLE				
03/12/2017	0:30	QUEENS	11691	40.60664	-73.762505	(40.60664, -73.762505)			23-98     BAYSWATER AVENUE              	1	0	0	0	0	0	1	0	Alcohol Involvement	Unspecified				3630755	PASSENGER VEHICLE	PASSENGER VEHICLE			
03/12/2017	0:35	MANHATTAN	10001	40.749054	-73.98835	(40.749054, -73.98835)			901       AVENUE OF THE AMERICAS        	0	0	0	0	0	0	0	0	Unsafe Lane Changing	Unspecified				3630729	PASSENGER VEHICLE	PASSENGER VEHICLE			
03/12/2017	0:35			40.63119	-74.14705	(40.63119, -74.14705)			217       WALKER STREET                 	0	0	0	0	0	0	0	0	Driver Inattention/Distraction	Unspecified				3630396	SPORT UTILITY / STATION WAGON				
03/12/2017	0:40	QUEENS	11385	40.70278	-73.870605	(40.70278, -73.870605)			79-05     MYRTLE AVENUE                 	0	0	0	0	0	0	0	0	Unspecified					3630399	SPORT UTILITY / STATION WAGON				
03/12/2017	0:40	QUEENS	11422	40.66563	-73.73921	(40.66563, -73.73921)	SUNRISE HIGHWAY                 	BROOKVILLE BOULEVARD		0	0	0	0	0	0	0	0	Reaction to Other Uninvolved Vehicle	Unspecified				3629850	PASSENGER VEHICLE	PASSENGER VEHICLE			
03/12/2017	0:40	QUEENS	11355	40.755524	-73.833405	(40.755524, -73.833405)	COLLEGE POINT BOULEVARD         	41 ROAD		1	0	0	0	0	0	1	0	Unspecified					3630137	PASSENGER VEHICLE	PASSENGER VEHICLE			
03/12/2017	0:45	BROOKLYN	11216	40.675026	-73.950035	(40.675026, -73.950035)			684       NOSTRAND AVENUE               	0	0	0	0	0	0	0	0	Unsafe Lane Changing	Unspecified				3629895	PASSENGER VEHICLE	SPORT UTILITY / STATION WAGON			
03/12/2017	0:50	BROOKLYN	11211	40.714558	-73.93769	(40.714558, -73.93769)			949       METROPOLITAN AVENUE           	1	0	1	0	0	0	0	0	Unspecified					3629880	SPORT UTILITY / STATION WAGON				
03/12/2017	0:55	MANHATTAN	10033	40.851696	-73.932	(40.851696, -73.932)	SAINT NICHOLAS AVENUE           	WEST 185 STREET		0	0	0	0	0	0	0	0	Unspecified	Unspecified	Unspecified	Unspecified		3632388	SPORT UTILITY / STATION WAGON	PASSENGER VEHICLE	PASSENGER VEHICLE	PASSENGER VEHICLE	
03/12/2017	0:57	MANHATTAN	10014	40.732372	-74.00348	(40.732372, -74.00348)	7 AVENUE SOUTH                  	BARROW STREET		0	0	0	0	0	0	0	0	Unsafe Lane Changing	Unspecified				3630618	TAXI	PASSENGER VEHICLE			
03/12/2017	10:00			40.71249	-73.93848	(40.71249, -73.93848)	OLIVE STREET                    			0	0	0	0	0	0	0	0	Driverless/Runaway Vehicle	Unspecified				3630930	PASSENGER VEHICLE				
03/12/2017	10:00	QUEENS	11358	40.762875	-73.79516	(40.762875, -73.79516)	CROCHERON AVENUE                	171 STREET		1	0	0	0	0	0	1	0	Turning Improperly	Unspecified				3630970	PASSENGER VEHICLE	PASSENGER VEHICLE	SPORT UTILITY / STATION WAGON		
03/12/2017	10:03	QUEENS	11436	40.668434	-73.80062	(40.668434, -73.80062)	VANWYCK EXPRESSWAY              	134 AVENUE		0	0	0	0	0	0	0	0	Passing or Lane Usage Improper	Unspecified				3630447	PASSENGER VEHICLE	PASSENGER VEHICLE			
03/12/2017	10:12	MANHATTAN	10016	40.749603	-73.97951	(40.749603, -73.97951)	PARK AVENUE                     	EAST 38 STREET		0	0	0	0	0	0	0	0	Backing Unsafely	Unspecified				3630171	SPORT UTILITY / STATION WAGON	TAXI			
03/12/2017	10:15	MANHATTAN	10001	40.752052	-74.000984	(40.752052, -74.000984)	WEST 30 STREET                  	10 AVENUE		0	0	0	0	0	0	0	0	Following Too Closely	Unspecified				3633090	SPORT UTILITY / STATION WAGON				
03/12/2017	10:20	BRONX	10467	40.878372	-73.86813	(40.878372, -73.86813)	EAST 211 STREET                 	OLINVILLE AVENUE		0	0	0	0	0	0	0	0	Pedestrian/Bicyclist/Other Pedestrian Error/Confusion	Unspecified				3630271	PASSENGER VEHICLE	PASSENGER VEHICLE			
03/12/2017	10:20			40.775642	-73.960526	(40.775642, -73.960526)	PARK AVENUE                     			0	0	0	0	0	0	0	0	Unspecified	Unspecified				3631025	PASSENGER VEHICLE	SPORT UTILITY / STATION WAGON			
03/12/2017	10:30	QUEENS	11421	40.696552	-73.85929	(40.696552, -73.85929)	86 STREET                       	PARK LANE SOUTH		0	0	0	0	0	0	0	0	Driver Inexperience	Unspecified				3630830	PASSENGER VEHICLE				
03/12/2017	10:30			40.73736	-73.99685	(40.73736, -73.99685)	AVENUE OF THE AMERICAS          			0	0	0	0	0	0	0	0	Unspecified					3630381	PASSENGER VEHICLE	PASSENGER VEHICLE			
